filename,reference,diff_final_train_loss,diff_final_val_loss,diff_open_set_baks,diff_open_set_baus,diff_open_set_geometric_mean,diff_open_set_threshold,final_train_loss,final_val_loss,open_set_baks,open_set_baus,open_set_geometric_mean,open_set_threshold,open_set_evaluation_time,backbone,batch_size,num_epochs,learning_rate,m,resize,n,val_split,weight_decay,dropout,scheduler,patience,augmentation,embedding_dim,margin,scale,loss_type
resnet18testmodel,,,,,,,,33.603,9.7447,0.1979,0.0525,0.1019,0.1,2025-04-23 12:43:31,resnet18,32,1,0.0001,4,288,2000,0.2,5e-05,0.3,cosine,10,True,512,0.3,64.0,arcface
resnet18basemodel,,,,,,,,8.5747,8.556,0.1164,0.4193,0.2209,0.1,2025-04-24 02:06:05,resnet18,32,15,0.0001,4,288,140000,0.2,5e-05,0.3,cosine,10,True,512,0.3,64.0,arcface
resnet18resize160,resnet18basemodel,0.2692,0.2479,0.0,0.0244,0.0064,0.0,8.8439,8.8039,0.1164,0.4437,0.2273,0.1,2025-04-24 04:57:26,resnet18,32,15,0.0001,4,160,140000,0.2,5e-05,0.3,cosine,10,True,512,0.3,64.0,arcface
resnet18batchsize32to16,resnet18basemodel,-0.2781,0.0334,0.0235,0.0299,0.0298,0.0,8.2966,8.5894,0.1399,0.4492,0.2507,0.1,2025-04-24 05:46:29,resnet18,16,15,0.0001,4,288,140000,0.2,5e-05,0.3,cosine,10,True,512,0.3,64.0,arcface
resnet18resize210,,0.0057,0.0917,0.0051,0.0379,0.0148,0.0,8.5804,8.6477,0.1215,0.4572,0.2357,0.1,2025-04-24 06:04:15,resnet18,32,15,0.0001,4,210,140000,0.2,5e-05,0.3,cosine,10,True,512,0.3,64.0,arcface
resnet18plateauscheduler,resnet18basemodel,-1.5522,-1.0887,-0.0064,0.0704,0.0112,0.0163,7.0225,7.4673,0.11,0.4897,0.2321,0.1163,2025-04-24 05:58:41,resnet18,32,15,0.0001,4,288,140000,0.2,5e-05,0.3,plateau,10,True,512,0.3,64.0,arcface
resnet18resize384,resnet18basemodel,0.3257,0.4197,0.0238,-0.0891,-0.0057,0.0,8.9004,8.9757,0.1402,0.3302,0.2152,0.1,2025-04-24 07:44:05,resnet18,32,15,0.0001,4,384,140000,0.2,5e-05,0.3,cosine,10,True,512,0.3,64.0,arcface
resnet18noscheduler,resnet18basemodel,-1.5868,-1.04,-0.019,0.1216,0.0086,0.0,6.9879,7.516,0.0974,0.5409,0.2295,0.1,2025-04-24 08:37:21,resnet18,32,15,0.0001,4,288,140000,0.2,5e-05,0.3,none,10,True,512,0.3,64.0,arcface
resnet18m6,resnet18batchsize32to16,0.5229,0.107,0.0078,-0.075,-0.0156,0.0,8.8195,8.6964,0.1477,0.3742,0.2351,0.1,2025-04-24 20:54:14,resnet18,16,15,0.0001,6,210,140000,0.2,5e-05,0.3,plateau,10,True,512,0.3,64.0,arcface
resnet18m3,resnet18batchsize32to16,-2.5882,-1.7006,-0.0201,0.0941,0.0044,0.0163,5.7084,6.8888,0.1198,0.5433,0.2551,0.1163,2025-04-24 23:24:54,resnet18,16,15,0.0001,3,210,140000,0.2,5e-05,0.3,plateau,10,True,512,0.3,64.0,arcface
resnet18scale80,resnet18batchsize32to16,-0.8741,-0.7525,0.0078,-0.007,0.0049,0.0,7.4225,7.8369,0.1477,0.4422,0.2556,0.1,2025-04-25 01:00:59,resnet18,16,15,0.0001,4,210,140000,0.2,5e-05,0.3,plateau,10,True,512,0.3,80.0,arcface
resnet18scale40,resnet18batchsize32to16,-1.5869,-1.2346,0.0056,-0.0389,-0.0064,0.0816,6.7097,7.3548,0.1455,0.4103,0.2443,0.1816,2025-04-25 01:01:01,resnet18,16,15,0.0001,4,210,140000,0.2,5e-05,0.3,plateau,10,True,512,0.3,40.0,arcface
resnet18margin05,resnet18batchsize32to16,-1.2138,-0.7841,-0.0246,0.1022,0.0014,0.0,7.0828,7.8053,0.1153,0.5514,0.2521,0.1,2025-04-25 01:28:16,resnet18,16,15,0.0001,4,210,140000,0.2,5e-05,0.3,plateau,10,True,512,0.5,64.0,arcface
resnet18margin01,resnet18batchsize32to16,-1.6192,-1.2957,-0.0028,0.0407,0.0085,0.0163,6.6774,7.2937,0.1371,0.4899,0.2592,0.1163,2025-04-25 01:51:10,resnet18,16,15,0.0001,4,210,140000,0.2,5e-05,0.3,plateau,10,True,512,0.1,64.0,arcface
